Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count
2024-01-10,13,0.354,0.039,0.072,0.534,2.0,1.0,1.0,1.0
2024-01-10,14,0.039,0.0,0.518,0.443,1.0,0.0,2.0,2.0
2024-01-10,15,0.0,0.0,0.511,0.489,0.0,0.0,1.0,2.0
2024-01-10,16,0.948,0.039,0.0,0.013,1.0,1.0,0.0,1.0
2024-01-10,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-10,18,0.843,0.157,0.0,0.0,2.0,1.0,0.0,0.0
2024-01-10,19,0.554,0.0,0.118,0.328,2.0,0.0,1.0,1.0
2024-01-10,20,0.462,0.0,0.197,0.341,1.0,0.0,1.0,1.0
2024-01-10,21,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-10,22,0.19,0.0,0.275,0.534,1.0,0.0,1.0,2.0
2024-01-10,23,0.0,0.0,0.315,0.685,0.0,0.0,2.0,2.0
2024-01-11,0,0.472,0.157,0.056,0.315,2.0,1.0,1.0,1.0
2024-01-11,1,0.0,0.0,0.41,0.59,0.0,0.0,3.0,2.0
2024-01-11,2,0.0,0.0,0.528,0.472,0.0,0.0,2.0,1.0
2024-01-11,3,0.0,0.0,0.423,0.577,0.0,0.0,1.0,1.0
2024-01-11,4,0.079,0.039,0.436,0.446,1.0,1.0,2.0,2.0
2024-01-11,5,0.0,0.0,0.843,0.157,0.0,0.0,2.0,1.0
2024-01-11,6,0.0,0.0,0.449,0.551,0.0,0.0,3.0,2.0
2024-01-11,7,0.721,0.0,0.239,0.039,1.0,0.0,1.0,1.0
2024-01-11,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-11,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-11,10,0.898,0.0,0.0,0.102,1.0,0.0,0.0,1.0
2024-01-11,11,0.157,0.0,0.118,0.725,1.0,0.0,1.0,1.0
2024-01-11,12,0.866,0.0,0.0,0.134,2.0,0.0,0.0,2.0
2024-01-11,13,0.387,0.0,0.275,0.338,1.0,0.0,1.0,1.0
2024-01-11,14,0.046,0.0,0.0,0.954,1.0,0.0,0.0,1.0
2024-01-11,15,0.538,0.039,0.275,0.148,1.0,1.0,1.0,1.0
2024-01-11,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-11,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-11,18,0.728,0.0,0.0,0.272,1.0,0.0,0.0,1.0
2024-01-11,19,0.0,0.0,0.289,0.711,0.0,0.0,2.0,2.0
2024-01-11,20,0.0,0.0,0.734,0.266,0.0,0.0,2.0,2.0
2024-01-11,21,0.0,0.0,0.393,0.607,0.0,0.0,1.0,2.0
2024-01-11,22,0.0,0.0,0.236,0.764,0.0,0.0,1.0,2.0
2024-01-11,23,0.0,0.0,0.511,0.489,0.0,0.0,1.0,3.0
2024-01-12,0,0.079,0.0,0.275,0.646,1.0,0.0,1.0,2.0
2024-01-12,1,0.0,0.0,0.426,0.574,0.0,0.0,1.0,1.0
2024-01-12,2,0.0,0.0,0.164,0.836,0.0,0.0,1.0,1.0
2024-01-12,3,0.0,0.0,0.774,0.226,0.0,0.0,1.0,1.0
2024-01-12,4,0.082,0.0,0.289,0.63,1.0,0.0,2.0,1.0
2024-01-12,5,0.154,0.0,0.531,0.315,2.0,0.0,3.0,1.0
2024-01-12,6,0.036,0.079,0.885,0.0,1.0,1.0,1.0,0.0
2024-01-12,7,0.79,0.0,0.079,0.131,1.0,0.0,1.0,1.0
2024-01-12,8,0.541,0.0,0.157,0.302,2.0,0.0,2.0,1.0
2024-01-12,9,0.489,0.0,0.118,0.393,2.0,0.0,1.0,1.0
2024-01-12,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2024-01-12,12,0.213,0.0,0.0,0.787,1.0,0.0,0.0,1.0
2024-01-12,13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12,14,0.754,0.0,0.079,0.167,1.0,0.0,1.0,2.0
2024-01-12,15,0.039,0.0,0.393,0.567,1.0,0.0,1.0,2.0
2024-01-12,16,0.869,0.0,0.0,0.131,1.0,0.0,0.0,1.0
2024-01-12,17,0.921,0.079,0.0,0.0,2.0,1.0,0.0,0.0
2024-01-12,18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-12,19,0.121,0.0,0.289,0.59,1.0,0.0,2.0,1.0
2024-01-12,20,0.0,0.0,0.616,0.384,0.0,0.0,1.0,1.0
2024-01-12,21,0.597,0.0,0.079,0.325,1.0,0.0,1.0,1.0
2024-01-12,22,0.269,0.0,0.039,0.692,1.0,0.0,1.0,2.0
2024-01-12,23,0.0,0.0,0.511,0.489,0.0,0.0,1.0,3.0
2024-01-13,0,0.0,0.0,0.489,0.511,0.0,0.0,1.0,1.0
2024-01-13,1,0.111,0.0,0.062,0.826,1.0,0.0,2.0,2.0
2024-01-13,2,0.243,0.0,0.275,0.482,2.0,0.0,2.0,1.0
2024-01-13,3,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0
2024-01-13,4,0.0,0.0,0.511,0.489,0.0,0.0,1.0,2.0
2024-01-13,5,0.118,0.0,0.374,0.508,1.0,0.0,2.0,3.0
2024-01-13,6,0.118,0.0,0.685,0.197,2.0,0.0,3.0,1.0
2024-01-13,7,0.8,0.0,0.003,0.197,1.0,0.0,1.0,1.0
2024-01-13,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-13,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-13,10,0.134,0.0,0.393,0.472,2.0,0.0,2.0,1.0
2024-01-13,11,0.961,0.0,0.039,0.0,2.0,0.0,1.0,0.0
2024-01-13,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-13,13,0.259,0.079,0.079,0.584,2.0,1.0,1.0,2.0
2024-01-13,14,0.197,0.0,0.246,0.557,1.0,0.0,2.0,2.0
2024-01-13,15,0.931,0.0,0.069,0.0,1.0,0.0,1.0,0.0
2024-01-13,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-13,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
