Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,activity_level,activity_level_2,Nivel_estres_1,Nivel_estres_2
2024-07-10,18,0.843,0.0,0.157,0.0,2.0,0.0,1.0,0.0,0.2146159187304727,0.0830476269340308,normal,normal
2024-07-10,19,0.279,0.0,0.118,0.603,1.0,0.0,1.0,1.0,0.0999736474215069,-0.2388545355733307,normal,normal
2024-07-10,20,0.0,0.0,0.62,0.38,0.0,0.0,1.0,1.0,-0.3257078068322639,-0.3387940316589002,normal,normal
2024-07-10,21,0.0,0.0,0.37,0.63,0.0,0.0,2.0,1.0,-0.1487581671070129,-0.4556253968960084,normal,normal
2024-07-10,22,0.0,0.0,0.505,0.495,0.0,0.0,1.0,1.0,-0.2443109725586484,-0.3387940316589002,normal,normal
2024-07-10,23,0.0,0.0,0.826,0.174,0.0,0.0,1.0,3.0,-0.4715143099658707,-0.7827193645024844,normal,normal
2024-07-11,0,0.0,0.0,0.607,0.393,0.0,0.0,1.0,1.0,-0.3165064255665509,-0.3387940316589002,normal,normal
2024-07-11,1,0.387,0.0,0.613,0.0,1.0,0.0,1.0,0.0,-0.2231479640014061,-0.0168918691515386,normal,normal
2024-07-11,2,0.479,0.0,0.275,0.246,1.0,0.0,1.0,1.0,0.0392912648464269,-0.2388545355733307,normal,normal
2024-07-11,3,0.0,0.0,0.42,0.58,0.0,0.0,1.0,1.0,-0.1841480950520631,-0.3387940316589002,normal,normal
2024-07-11,4,0.121,0.0,0.446,0.433,1.0,0.0,2.0,2.0,-0.1720334529242007,-0.5776485672322309,normal,normal
2024-07-11,5,0.075,0.0,0.905,0.02,2.0,0.0,2.0,1.0,-0.5085146494294085,-0.2557464047248693,normal,normal
2024-07-11,6,0.193,0.0,0.118,0.689,1.0,0.0,2.0,2.0,0.0782835912173845,-0.5776485672322309,normal,normal
2024-07-11,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-11,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-11,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-11,10,0.544,0.141,0.315,0.0,1.0,4.0,3.0,0.0,0.0128106895461665,6.466087887146547,normal,normal
2024-07-11,11,0.0,0.213,0.354,0.433,0.0,1.0,4.0,4.0,-0.1594317281506022,0.3239844950574748,normal,normal
2024-07-11,12,0.095,0.0,0.197,0.708,1.0,0.0,3.0,4.0,-0.0023490706102598,-1.138405265312923,normal,normal
2024-07-11,13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-11,14,0.725,0.0,0.275,0.0,3.0,0.0,2.0,0.0,0.1013349139884513,0.0661557577824921,normal,normal
2024-07-11,15,0.069,0.0,0.197,0.734,1.0,0.0,1.0,1.0,-0.0089065294626689,-0.2388545355733307,normal,normal
2024-07-11,16,0.869,0.0,0.0,0.131,1.0,0.0,0.0,1.0,0.3322977513303394,-0.1220231703362225,normal,normal
2024-07-11,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-11,18,0.964,0.0,0.036,0.0,1.0,0.0,1.0,0.0,0.3307769490167827,-0.0168918691515386,normal,normal
2024-07-11,19,0.0,0.0,0.869,0.131,0.0,0.0,2.0,2.0,-0.5019496479986139,-0.6775880633178004,normal,normal
2024-07-11,20,0.354,0.0,0.423,0.223,2.0,0.0,4.0,2.0,-0.0969891663536576,-0.7113718016208778,normal,normal
2024-07-11,21,0.0,0.0,0.01,0.99,0.0,0.0,1.0,1.0,0.1060493140973485,-0.3387940316589002,normal,normal
2024-07-11,22,0.0,0.0,0.967,0.033,0.0,0.0,1.0,1.0,-0.5713139067709123,-0.3387940316589002,normal,normal
2024-07-11,23,0.315,0.0,0.056,0.63,1.0,0.0,2.0,2.0,0.1530498437840835,-0.5776485672322309,normal,normal
2024-07-12,0,0.213,0.0,0.157,0.63,2.0,0.0,1.0,1.0,0.0557236465374831,-0.1389150394877611,normal,normal
2024-07-12,1,0.259,0.0,0.393,0.348,1.0,0.0,1.0,1.0,-0.0997151553935069,-0.2388545355733307,normal,normal
2024-07-12,2,0.0,0.0,0.521,0.479,0.0,0.0,1.0,1.0,-0.2556357495010645,-0.3387940316589002,normal,normal
2024-07-12,3,0.0,0.0,0.331,0.669,0.0,0.0,2.0,1.0,-0.1211540233098737,-0.4556253968960084,normal,normal
2024-07-12,4,0.157,0.0,0.489,0.354,1.0,0.0,2.0,1.0,-0.1933892325459159,-0.3556859008104389,normal,normal
2024-07-12,5,0.0,0.0,0.666,0.334,0.0,0.0,2.0,2.0,-0.3582665405417101,-0.6775880633178004,normal,normal
2024-07-12,6,0.115,0.0,0.433,0.452,1.0,0.0,1.0,1.0,-0.164345331393659,-0.2388545355733307,normal,normal
2024-07-12,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-12,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3653372555482468,0.0999394960855695,normal,normal
2024-07-12,9,0.521,0.0,0.479,0.0,1.0,0.0,1.0,0.0,-0.0945068230231785,-0.0168918691515386,normal,normal
2024-07-12,10,0.77,0.0,0.23,0.0,1.0,0.0,1.0,0.0,0.1445352971527816,-0.0168918691515386,normal,normal
2024-07-12,11,0.882,0.0,0.118,0.0,2.0,0.0,1.0,0.0,0.2520562508062255,0.0830476269340308,normal,normal
2024-07-12,12,0.984,0.0,0.016,0.0,1.0,0.0,1.0,0.0,0.3499771193120405,-0.0168918691515386,normal,normal
