Fecha,Class,Ancho,H.N,H
2024-01-06,period resting,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-06,period rumination,7,0.2754098360655738,0 days 00:16:31.475000
2024-01-06,period resting,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-06,period rumination,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-07,period rumination,15,0.5901639344262296,0 days 00:35:24.590000
2024-01-07,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-07,period rumination,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-07,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-07,period rumination,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-07,period resting,16,0.6295081967213115,0 days 00:37:46.230000
2024-01-07,period rumination,18,0.7081967213114755,0 days 00:42:29.508000
2024-01-07,period resting,17,0.6688524590163935,0 days 00:40:07.869000
2024-01-07,period rumination,12,0.4721311475409836,0 days 00:28:19.672000
2024-01-07,period eating,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-07,period rumination,20,0.7868852459016394,0 days 00:47:12.787000
2024-01-07,period resting,22,0.8655737704918034,0 days 00:51:56.066000
2024-01-07,period rumination,24,0.9442622950819672,0 days 00:56:39.344000
2024-01-07,period resting,4,0.15737704918032788,0 days 00:09:26.557000
